,date_str,date_time,format,re
0,21/10/2024,2024-10-21,PARSER,PARSER
1,21/10/2024,2024-10-21,PARSER,PARSER
2,2014,2014-01-01,%Y,re.compile('^\\d{4}\\s*$')
3,2024,2024-01-01,%Y,re.compile('^\\d{4}\\s*$')
4,2024,2024-01-01,%Y,re.compile('^\\d{4}\\s*$')
5,2024,2024-01-01,%Y,re.compile('^\\d{4}\\s*$')
6,2024,2024-01-01,%Y,re.compile('^\\d{4}\\s*$')
7,2024,2024-01-01,%Y,re.compile('^\\d{4}\\s*$')
8,2024,2024-01-01,%Y,re.compile('^\\d{4}\\s*$')
9,10/09/24,2024-10-09,PARSER,PARSER
10,21/10/24,2024-10-21,PARSER,PARSER
11,5/11/24,2024-05-11,PARSER,PARSER
12,début d'année prochaine,PARSER,PARSER,PARSER
13,17/10/2024,2024-10-17,PARSER,PARSER
14,21/10/2024,2024-10-21,PARSER,PARSER
15,21/10/2024,2024-10-21,PARSER,PARSER
16,21/10/2024,2024-10-21,PARSER,PARSER
17,30/05/2021,2021-05-30,PARSER,PARSER
18,15/06/2021,2021-06-15,PARSER,PARSER
19,17/06/2021,2021-06-17,PARSER,PARSER
20,05/10/2021,2021-05-10,PARSER,PARSER
21,17/10/2024,2024-10-17,PARSER,PARSER
22,06/01/2022,2022-06-01,PARSER,PARSER
23,17/10/2022,2022-10-17,PARSER,PARSER
24,07/2022,2022-07-17,PARSER,PARSER
25,juillet 2022,PARSER,PARSER,PARSER
26,09/11/2022,2022-09-11,PARSER,PARSER
27,06/01,1900-01-06,%d/%m,"re.compile('^\\d{1,2}/\\d{1,2}\\s*$')"
28,28,2024-10-28,PARSER,PARSER
29,28,2024-10-28,PARSER,PARSER
30,30/03/2023,2023-03-30,PARSER,PARSER
31,17/05/2023,2023-05-17,PARSER,PARSER
32,août 2023,PARSER,PARSER,PARSER
33,octobre 2024,PARSER,PARSER,PARSER
34,24/06/2024,2024-06-24,PARSER,PARSER
35,24/06/2024,2024-06-24,PARSER,PARSER
36,09/07/2024,2024-09-07,PARSER,PARSER
37,01.10.2024,2024-01-10,PARSER,PARSER
38,17/10/2024,2024-10-17,PARSER,PARSER
39,21/10/2024,2024-10-21,PARSER,PARSER
40,17/10/2024,2024-10-17,PARSER,PARSER
41,21/10/2024,2024-10-21,PARSER,PARSER
42,21/10/2024,2024-10-21,PARSER,PARSER
43,21/10/2024,2024-10-21,PARSER,PARSER
44,17/10/2024,2024-10-17,PARSER,PARSER
45,26/09/2024,2024-09-26,PARSER,PARSER
46,30/09/2024,2024-09-30,PARSER,PARSER
47,11/10/2024,2024-11-10,PARSER,PARSER
48,17/10/2024,2024-10-17,PARSER,PARSER
49,21/10/2024,2024-10-21,PARSER,PARSER
50,21/10/2024,2024-10-21,PARSER,PARSER
51,21/10/2024,2024-10-21,PARSER,PARSER
52,0-4,PARSER,PARSER,PARSER
53,mai 2020,PARSER,PARSER,PARSER
54,02 juillet,PARSER,PARSER,PARSER
55,27/07/2020,2020-07-27,PARSER,PARSER
56,03/08/2020,2020-03-08,PARSER,PARSER
57,17/10/2024,2024-10-17,PARSER,PARSER
58,17/08/2020,2020-08-17,PARSER,PARSER
